month,series_id,actual,predicted,abs_error,pct_error
2020-01-01,23,25360.05,24206.34,1153.71,4.55
2020-02-01,23,24889.77,25895.29,1005.52,4.04
2020-03-01,23,30103.96,25722.08,4381.88,14.56
2020-04-01,23,29795.75,31290.42,1494.67,5.02
2020-05-01,23,26923.07,30405.68,3482.61,12.94
2020-06-01,23,28990.75,28285.05,705.7,2.43
2020-07-01,23,30691.67,28910.44,1781.23,5.8
2020-08-01,23,29107.23,32424.56,3317.32,11.4
2020-09-01,23,20687.25,28850.62,8163.37,39.46
2020-10-01,23,20332.2,22869.46,2537.27,12.48
2020-11-01,23,24632.88,21452.93,3179.95,12.91
2020-12-01,23,19774.86,24606.49,4831.63,24.43
2021-01-01,23,19929.23,21284.17,1354.94,6.8
2021-02-01,23,22727.02,20082.12,2644.9,11.64
2021-03-01,23,25871.86,24355.14,1516.73,5.86
2021-04-01,23,25501.93,24907.51,594.42,2.33
2021-05-01,23,24459.79,25829.75,1369.96,5.6
2021-06-01,23,24025.59,25329.58,1304.0,5.43
2021-07-01,23,23021.2,25440.4,2419.2,10.51
2021-08-01,23,21433.55,25309.64,3876.1,18.08
2021-09-01,23,26520.78,23428.99,3091.79,11.66
2021-10-01,23,21506.48,24073.63,2567.16,11.94
2021-11-01,23,22117.85,23720.45,1602.6,7.25
2021-12-01,23,19718.0,21699.12,1981.13,10.05
2022-01-01,23,21003.84,19870.39,1133.45,5.4
2022-02-01,23,20970.17,20996.97,26.8,0.13
2022-03-01,23,17833.69,21380.3,3546.62,19.89
2022-04-01,23,21234.39,17939.29,3295.09,15.52
2022-05-01,23,20481.18,22398.23,1917.05,9.36
2022-01-01,29,2834.29,2767.67,66.63,2.35
2022-02-01,29,2662.12,2837.49,175.37,6.59
2022-03-01,29,2506.5,2709.83,203.33,8.11
2022-04-01,29,2346.81,2477.84,131.03,5.58
2022-05-01,29,1979.33,2209.79,230.46,11.64
2022-06-01,29,2074.82,1981.14,93.68,4.52
2022-07-01,29,1850.2,2060.98,210.78,11.39
2022-08-01,29,2178.58,1896.54,282.05,12.95
2022-09-01,29,2384.6,2204.72,179.88,7.54
2022-10-01,29,2522.98,2311.55,211.43,8.38
2022-11-01,29,2824.64,2558.32,266.33,9.43
2022-12-01,29,2854.45,2912.99,58.54,2.05
2023-01-01,29,2788.53,2911.48,122.95,4.41
2023-02-01,29,2796.54,2813.24,16.7,0.6
2023-03-01,29,2492.48,2777.43,284.95,11.43
2023-04-01,29,2469.39,2487.85,18.46,0.75
2023-05-01,29,2092.08,2477.44,385.36,18.42
2023-06-01,29,2217.46,2158.75,58.71,2.65
2023-07-01,29,2017.63,2186.52,168.89,8.37
2023-08-01,29,2235.02,2109.8,125.21,5.6
2023-09-01,29,2458.18,2233.31,224.86,9.15
2023-10-01,29,3021.78,2475.19,546.59,18.09
2023-11-01,29,3104.82,3147.88,43.06,1.39
2023-12-01,29,3149.8,3199.44,49.64,1.58
2024-01-01,29,3283.33,3181.01,102.33,3.12
2024-02-01,29,2717.67,3304.26,586.58,21.58
2024-03-01,29,2854.78,2817.5,37.28,1.31
2024-04-01,29,2904.09,2839.22,64.86,2.23
2024-05-01,29,2426.0,2871.31,445.31,18.36
2024-06-01,29,2309.06,2465.66,156.6,6.78
2024-07-01,29,2397.38,2299.94,97.44,4.06
2024-08-01,29,2610.33,2352.18,258.15,9.89
2024-09-01,29,2442.45,2591.34,148.89,6.1
2024-10-01,29,2754.29,2504.57,249.72,9.07
2024-11-01,29,3325.76,2809.77,515.99,15.52
2024-12-01,29,3300.64,3278.02,22.62,0.69
2025-01-01,29,3694.56,3305.09,389.47,10.54
2021-01-01,31,725044.83,737639.57,12594.75,1.74
2021-02-01,31,683318.42,733304.36,49985.94,7.32
2021-03-01,31,569639.53,699081.47,129441.94,22.72
2021-04-01,31,564869.52,606788.52,41919.01,7.42
2021-05-01,31,631091.34,602906.84,28184.5,4.47
2021-06-01,31,683931.34,667661.73,16269.61,2.38
2021-07-01,31,487474.36,690746.29,203271.93,41.7
2021-08-01,31,648772.79,546717.18,102055.61,15.73
2021-09-01,31,710452.18,688723.89,21728.29,3.06
2021-10-01,31,635191.06,716931.68,81740.62,12.87
2021-11-01,31,683312.65,683310.05,2.6,0.0
2021-12-01,31,601345.94,700769.01,99423.07,16.53
2022-01-01,31,628034.14,635924.83,7890.68,1.26
2022-02-01,31,521710.9,677130.16,155419.27,29.79
2022-03-01,31,463681.96,554061.19,90379.23,19.49
2022-04-01,31,636846.12,502171.12,134675.0,21.15
2022-05-01,31,515162.47,667855.49,152693.02,29.64
2022-06-01,31,537925.38,592596.17,54670.79,10.16
2023-01-01,32,5323.76,6170.17,846.42,15.9
2023-02-01,32,4822.36,5502.18,679.82,14.1
2023-03-01,32,4910.71,4891.78,18.93,0.39
2023-04-01,32,4522.33,4657.52,135.19,2.99
2023-05-01,32,4809.36,4576.63,232.73,4.84
2023-06-01,32,5293.25,4889.35,403.9,7.63
2023-07-01,32,5342.3,5773.02,430.73,8.06
2023-08-01,32,6790.91,5477.87,1313.05,19.34
2023-09-01,32,9211.63,6373.34,2838.29,30.81
2023-10-01,32,5605.98,8306.94,2700.96,48.18
2023-11-01,32,7321.5,6640.9,680.6,9.3
2023-12-01,32,6151.05,7480.56,1329.52,21.61
2024-01-01,32,6730.55,6291.68,438.87,6.52
2024-02-01,32,5857.03,6613.07,756.04,12.91
2024-03-01,32,5969.22,5978.24,9.02,0.15
2024-04-01,32,6120.69,6143.37,22.68,0.37
2024-05-01,32,5700.87,5694.66,6.21,0.11
2024-06-01,32,6855.96,5557.39,1298.57,18.94
