month_date,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,month,quarter,revenue,series_id
2020-01-01,380274.53522985935,346271.59168224904,314664.8059536033,334949.4446450187,337204.41958672553,347070.3109552372,32812.15641014287,1,1,432635.0972915501,0
2020-02-01,432635.0972915501,380274.53522985935,346271.59168224904,318959.5442979463,365756.2062959595,386393.7414012195,43505.71558321556,2,1,466731.12285165803,0
2020-03-01,466731.12285165803,432635.0972915501,380274.53522985935,309426.40437501116,386429.57710764447,426546.9184576892,43548.648967978705,3,1,490692.93110621406,0
2020-04-01,490692.93110621406,466731.12285165803,432635.0972915501,314664.8059536033,387275.1125105478,463353.05041647406,29175.958370648023,4,2,493670.26459336356,0
2020-05-01,493670.26459336356,490692.93110621406,466731.12285165803,346271.59168224904,384450.680290255,483698.1061837452,14769.05620603117,5,2,490987.3301995144,0
2020-06-01,490987.3301995144,493670.26459336356,490692.93110621406,380274.53522985935,362624.2954525262,491783.50863303064,1640.59554641362,6,2,456522.5609057576,0
2020-07-01,456522.5609057576,490987.3301995144,493670.26459336356,432635.0972915501,334949.4446450187,480393.38523287856,20716.218882378438,7,3,423753.37163877336,0
2020-08-01,423753.37163877336,456522.5609057576,490987.3301995144,466731.12285165803,318959.5442979463,457087.7542480151,33620.54250859795,8,3,399090.549684259,0
2020-09-01,399090.549684259,423753.37163877336,456522.5609057576,490692.93110621406,309426.40437501116,426455.49407626333,28811.19708528185,9,3,393947.9717724197,0
2020-10-01,393947.9717724197,399090.549684259,423753.37163877336,493670.26459336356,314664.8059536033,405597.297698484,15932.476034463389,10,4,405920.92677308246,0
2020-11-01,405920.92677308246,393947.9717724197,399090.549684259,490987.3301995144,346271.59168224904,399653.14940992044,6006.271863680037,11,4,440754.7714220185,0
2020-12-01,440754.7714220185,405920.92677308246,393947.9717724197,456522.5609057576,380274.53522985935,413541.2233225068,24316.060803207245,12,4,491477.7068250937,0
2021-01-01,491477.7068250937,440754.7714220185,405920.92677308246,423753.37163877336,432635.0972915501,446051.13500673155,43023.5895019597,1,1,558191.142161744,0
2021-02-01,558191.142161744,491477.7068250937,440754.7714220185,399090.549684259,466731.12285165803,496807.8734696187,58899.34889685407,2,1,591395.2052110643,0
2021-03-01,591395.2052110643,558191.142161744,491477.7068250937,393947.9717724197,490692.93110621406,547021.3513993006,50886.63665624959,3,1,621959.1719426773,0
2021-04-01,621959.1719426773,591395.2052110643,558191.142161744,405920.92677308246,493670.26459336356,590515.1731051619,31893.12226665898,4,2,627111.3359258487,0
2021-05-01,627111.3359258487,621959.1719426773,591395.2052110643,440754.7714220185,490987.3301995144,613488.5710265301,19306.056257541783,5,2,620424.6851307572,0
2021-06-01,620424.6851307572,627111.3359258487,621959.1719426773,491477.7068250937,456522.5609057576,623165.0643330944,3502.6357299652636,6,2,589240.5597845591,0
2021-07-01,589240.5597845591,620424.6851307572,627111.3359258487,558191.142161744,423753.37163877336,612258.8602803884,20212.853410666565,7,3,541035.9931373431,0
2021-08-01,541035.9931373431,589240.5597845591,620424.6851307572,591395.2052110643,399090.549684259,583567.0793508864,39997.279773501235,8,3,504923.02461772424,0
2021-09-01,504923.02461772424,541035.9931373431,589240.5597845591,621959.1719426773,393947.9717724197,545066.5258465421,42303.02092750021,9,3,493552.9198436502,0
2021-10-01,493552.9198436502,504923.02461772424,541035.9931373431,627111.3359258487,405920.92677308246,513170.64586623915,24792.700630381638,10,4,518081.67256387376,0
2021-11-01,518081.67256387376,493552.9198436502,504923.02461772424,620424.6851307572,440754.7714220185,505519.20567508275,12275.239361914179,11,4,562825.7594582596,0
