Opportunity_ID,Industry,Deal_Size,Sales_Cycle_Days,Status,Close_Date
OPP-1000,health-care,51114.09,74.0,Won,2023-01-01 00:00:00.000000000
OPP-1001,Manufacturing,10991.17,69.0,Lost,2023-01-01 06:16:12.194438887
OPP-1002,Retail,10871.39,53.0,Won,2023-01-01 12:32:24.388877775
OPP-1003,Finance,126510.96,80.0,Lost,2023-01-01 18:48:36.583316663
OPP-1004,IT_Tech,47515.68,72.0,Lost,2023-01-02 01:04:48.777755551
OPP-1005,IT_Tech,44985.39,77.0,Won,2023-01-02 07:21:00.972194438
OPP-1006,IT_Tech,31571.29,76.0,Lost,2023-01-02 13:37:13.166633326
OPP-1007,Manufacturing,19158.17,75.0,Lost,2023-01-02 19:53:25.361072214
OPP-1008,Finance,99625.81,83.0,Lost,2023-01-03 02:09:37.555511102
OPP-1009,Retail,8803.1,49.0,Won,2023-01-03 08:25:49.749949990
OPP-1010,IT_Tech,108233.73,69.0,Lost,2023-01-03 14:42:01.944388877
OPP-1011,Manufacturing,48303.22,68.0,Lost,2023-01-03 20:58:14.138827765
OPP-1012,Retail,9993.36,61.0,Won,2023-01-04 03:14:26.333266653
OPP-1013,IT_Tech,26750.47,83.0,Won,2023-01-04 09:30:38.527705541
OPP-1014,IT_Tech,34666.46,59.0,Won,2023-01-04 15:46:50.722144428
OPP-1015,IT_Tech,32216.98,68.0,Lost,2023-01-04 22:03:02.916583316
OPP-1016,health-care,142928.57,94.0,Lost,2023-01-05 04:19:15.111022204
OPP-1017,Finance,81785.05,75.0,Won,2023-01-05 10:35:27.305461092
OPP-1018,health-care,47146.78,80.0,Lost,2023-01-05 16:51:39.499899980
OPP-1019,IT_Tech,93453.6,78.0,Lost,2023-01-05 23:07:51.694338867
OPP-1020,Finance,75326.33,81.0,Lost,2023-01-06 05:24:03.888777755
OPP-1021,IT_Tech,53338.83,73.0,Won,2023-01-06 11:40:16.083216643
OPP-1022,IT_Tech,26792.75,79.0,Won,2023-01-06 17:56:28.277655531
OPP-1023,health-care,90932.19,61.0,Lost,2023-01-07 00:12:40.472094418
OPP-1024,health-care,88138.61,75.0,Lost,2023-01-07 06:28:52.666533306
OPP-1025,Retail,5193.56,63.0,Won,2023-01-07 12:45:04.860972194
OPP-1026,IT_Tech,99472.6,86.0,Lost,2023-01-07 19:01:17.055411082
OPP-1027,Finance,158639.03,101.0,Lost,2023-01-08 01:17:29.249849970
OPP-1028,Finance,57623.33,72.0,Lost,2023-01-08 07:33:41.444288857
OPP-1029,IT_Tech,20928.46,87.0,Lost,2023-01-08 13:49:53.638727745
OPP-1030,Finance,90087.52,71.0,Won,2023-01-08 20:06:05.833166633
OPP-1031,IT_Tech,37924.36,89.0,Lost,2023-01-09 02:22:18.027605521
OPP-1032,IT_Tech,43383.5,84.0,Lost,2023-01-09 08:38:30.222044408
OPP-1033,Manufacturing,39966.17,63.0,Lost,2023-01-09 14:54:42.416483296
OPP-1034,Manufacturing,46775.76,78.0,Won,2023-01-09 21:10:54.610922184
OPP-1035,Retail,27547.11,,Won,2023-01-10 03:27:06.805361072
OPP-1036,health-care,102833.03,88.0,Lost,2023-01-10 09:43:18.999799960
OPP-1037,IT_Tech,21486.33,67.0,Won,2023-01-10 15:59:31.194238847
OPP-1038,Finance,165634.31,80.0,Lost,2023-01-10 22:15:43.388677735
OPP-1039,health-care,195705.99,101.0,Lost,2023-01-11 04:31:55.583116623
OPP-1040,IT_Tech,175611.31,83.0,Lost,2023-01-11 10:48:07.777555511
OPP-1041,health-care,37268.49,83.0,Lost,2023-01-11 17:04:19.971994398
OPP-1042,IT_Tech,41004.66,71.0,Lost,2023-01-11 23:20:32.166433286
OPP-1043,Manufacturing,12822.42,86.0,Lost,2023-01-12 05:36:44.360872174
OPP-1044,IT_Tech,47885.81,67.0,Lost,2023-01-12 11:52:56.555311062
OPP-1045,Finance,52632.01,68.0,Won,2023-01-12 18:09:08.749749950
OPP-1046,health-care,231901.38,104.0,Lost,2023-01-13 00:25:20.944188837
OPP-1047,Finance,45946.41,69.0,Lost,2023-01-13 06:41:33.138627725
OPP-1048,Finance,26542.17,90.0,Won,2023-01-13 12:57:45.333066613
OPP-1049,IT_Tech,28691.84,82.0,Lost,2023-01-13 19:13:57.527505501
OPP-1050,Manufacturing,13524.47,64.0,Lost,2023-01-14 01:30:09.721944388
OPP-1051,Retail,19448.98,47.0,Won,2023-01-14 07:46:21.916383276
OPP-1052,Manufacturing,12931.98,66.0,Lost,2023-01-14 14:02:34.110822164
OPP-1053,Manufacturing,36835.92,74.0,Won,2023-01-14 20:18:46.305261052
OPP-1054,Finance,21021.75,83.0,Won,2023-01-15 02:34:58.499699940
OPP-1055,Manufacturing,30941.42,91.0,Lost,2023-01-15 08:51:10.694138827
OPP-1056,IT_Tech,82593.73,71.0,Lost,2023-01-15 15:07:22.888577715
OPP-1057,IT_Tech,43491.64,84.0,Lost,2023-01-15 21:23:35.083016603
OPP-1058,IT_Tech,23582.34,79.0,Won,2023-01-16 03:39:47.277455491
OPP-1059,health-care,71774.02,91.0,Lost,2023-01-16 09:55:59.471894378
OPP-1060,health-care,73925.28,84.0,Lost,2023-01-16 16:12:11.666333266
OPP-1061,IT_Tech,45996.25,51.0,Won,2023-01-16 22:28:23.860772154
OPP-1062,Retail,6745.09,59.0,Won,2023-01-17 04:44:36.055211042
OPP-1063,health-care,104353.6,67.0,Lost,2023-01-17 11:00:48.249649930
OPP-1064,IT_Tech,9393.79,61.0,Lost,2023-01-17 17:17:00.444088817
OPP-1065,Finance,50114.68,87.0,Won,2023-01-17 23:33:12.638527705
OPP-1066,IT_Tech,28448.85,75.0,Won,2023-01-18 05:49:24.832966593
OPP-1067,Retail,18336.77,82.0,Lost,2023-01-18 12:05:37.027405481
OPP-1068,IT_Tech,36728.76,77.0,Lost,2023-01-18 18:21:49.221844368
